Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Multiplatform
1587,Twisted Metal 4,PS,1999,Racing,989 Studios,1.07,0.16,0,0.04,1.28,0
1588,Devil May Cry HD Collection,PS3 X360,2012,Action,Capcom,0.7,0.32,0.12,0.13,1.28,1
1589,Silent Hill 2,PS2,2001,Action,Konami Digital Entertainment,0.62,0.49,0,0.16,1.28,0
1590,Yakuman,GB,1989,Misc,Nintendo,0,0,1.28,0,1.28,0
1591,Dragon Ball: Raging Blast,PS3 X360,2009,Fighting,Namco Bandai Games,0.73,0.28,0.13,0.14,1.28,1
1592,Champions of Norrath,PS2,2004,Role-Playing,Sony Online Entertainment,0.63,0.49,0,0.16,1.28,0
1593,Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.28,0
1594,Army Men 3D,PS,1999,Action,3DO,1.1,0.14,0,0.04,1.28,0
1595,Hasbro Family Game Night 3,Wii PS3 X360,2010,Misc,Electronic Arts,0.82,0.35,0,0.11,1.28,1
1596,Tales of Phantasia,PS SNES GBA,1998,Role-Playing,Namco Bandai Games,0.08,0.03,1.11,0.05,1.27,1
1597,Hogan's Alley,NES,1984,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27,0
1598,Road Rash,PS,1995,Racing,Electronic Arts,0.71,0.48,0,0.08,1.27,0
1599,Atlantis,2600,1981,Shooter,Imagic,1.18,0.08,0,0.01,1.27,0
1600,Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,0.44,0.3,0.47,0.06,1.27,0
1601,Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Deep Silver,0.96,0.2,0,0.11,1.27,0
1602,.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,0
1603,Sonic Adventure DX: Director's Cut,GC,2003,Platform,Sega,0.87,0.3,0.06,0.03,1.27,0
1604,The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts,1.22,0.05,0,0,1.27,0
1605,Jet Li: Rise to Honor,PS2,2004,Action,Sony Computer Entertainment,0.62,0.48,0,0.16,1.27,0
1606,Warriors Orochi,PS2 PSP X360,2007,Action,Tecmo Koei,0.3,0.1,0.82,0.05,1.27,1
1607,Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27,0
1608,Yokai Watch 3,3DS,2016,Action,Level 5,0,0,1.27,0,1.27,0
1609,SpongeBob SquarePants: The Yellow Avenger,PSP DS,2006,Action,THQ,0.87,0.21,0,0.18,1.27,1
1610,NHL 2003,PS2 XB GC,2002,Sports,Electronic Arts,0.71,0.43,0,0.13,1.27,1
1611,NCAA March Madness 2004,PS2 XB,2003,Sports,Electronic Arts,0.68,0.44,0,0.14,1.27,1
1612,Frozen: Olaf's Quest,DS 3DS,2013,Platform,Disney Interactive Studios,0.55,0.61,0,0.11,1.27,1
1613,Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,0
1614,Lego Star Wars: The Force Awakens,PS4 XOne PS3 X360 PSV WiiU 3DS,2016,Action,Warner Bros. Interactive Entertainment,0.41,0.68,0,0.16,1.26,1
1615,EyePet,PS3 PSP,2009,Simulation,Sony Computer Entertainment,0.37,0.69,0.04,0.18,1.26,1
1616,Peppa Pig: The Game,DS Wii,2008,Misc,Pinnacle,0,1.17,0,0.09,1.26,1
1617,Spider-Man: Web of Shadows,X360 PS3 Wii PS2 DS PC,2008,Action,Activision,0.97,0.17,0,0.12,1.26,1
1618,Championship Manager 03/04,PC,2003,Sports,Eidos Interactive,0,1.15,0,0.11,1.26,0
1619,Dynasty Warriors 6,PS3 X360 PS2,2007,Action,Tecmo Koei,0.45,0.23,0.47,0.09,1.26,1
1620,Brian Lara Cricket,PS,1998,Sports,Codemasters,0.02,1.13,0.01,0.1,1.26,0
1621,Devil Dice,PS,1998,Puzzle,THQ,0.05,0.03,1.1,0.08,1.26,0
1622,Football Manager 2011,PC,2010,Sports,Sega,0,1.01,0,0.25,1.26,0
1623,Tamagotchi Connection: Corner Shop,DS,2005,Simulation,Atari,0.1,0.02,1.12,0.01,1.26,0
1624,Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,0.45,0.68,0,0.12,1.26,0
1625,Royal Palace of White Sword and The City of Gentiles,PS2 XB PC,2005,Role-Playing,Take-Two Interactive,0.06,0.55,0,0.63,1.26,1
1626,Scooby-Doo! Mystery Mayhem,PS2 GBA GC XB,2004,Action,THQ,0.81,0.36,0,0.09,1.26,1
1627,Wolfenstein,PS3 X360 PC,2009,Shooter,Activision,0.54,0.53,0,0.18,1.25,1
1628,NHL 2004,PS2 XB GC,2003,Sports,Electronic Arts,0.68,0.43,0,0.13,1.25,1
1629,Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive,0.61,0.48,0,0.16,1.25,0
1630,SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment,0.94,0.17,0.02,0.13,1.25,0
1631,Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Namco Bandai Games,0,0,1.25,0,1.25,0
1632,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,0,0,1.25,0,1.25,0
1633,Reel Fishing,PS,1996,Sports,Natsume,0.99,0.13,0.1,0.04,1.25,0
1634,Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,1.25,0
1635,Road Rash 3D,PS,1998,Racing,Electronic Arts,1.05,0.16,0,0.04,1.25,0
1636,RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,1.19,0.05,0,0,1.25,0
1637,Borderlands: The Handsome Collection,PS4 XOne,2015,Shooter,Take-Two Interactive,0.6,0.45,0.03,0.18,1.25,1
1638,Need for Speed: Porsche Unleashed,PS GBA,1999,Racing,Electronic Arts,0.78,0.42,0,0.06,1.25,1
1639,Super Ghouls 'n Ghosts,SNES GBA,1991,Platform,Capcom,0.55,0.16,0.52,0.02,1.25,1
1640,Need for Speed: Nitro,Wii DS,2009,Racing,Electronic Arts,0.68,0.44,0,0.12,1.24,1
1641,Tactics Ogre: Let Us Cling Together,SNES PSP,1995,Role-Playing,Quest,0.15,0.07,0.98,0.05,1.24,1
1642,Diddy Kong Racing DS,DS,2007,Racing,Nintendo,1.1,0.04,0,0.1,1.24,0
1643,Ratchet: Deadlocked,PS2,2005,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,0.14,1.24,0
1644,Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft,0.43,0.48,0.05,0.28,1.24,0
1645,Oddworld: Abe's Oddysee,PS,1997,Platform,GT Interactive,0.75,0.44,0,0.06,1.24,0
1646,Ridge Racer V,PS2,2000,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,0
1647,Tetris 2 (All region sales),GB,1992,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24,0
1648,Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai Games,0.29,0.19,0.67,0.09,1.24,0
1649,Transformers: Autobots / Decepticons,DS,2007,Action,Activision,1.12,0.03,0,0.09,1.24,0
1650,MVP Baseball 2003,PS2 XB,2003,Sports,Electronic Arts,0.66,0.44,0,0.14,1.24,1
1651,Spider-Man: Shattered Dimensions,PS3 X360 Wii DS,2010,Action,Activision,0.8,0.32,0,0.12,1.24,1
1652,TNA iMPACT!,X360 PS3 PS2 Wii,2008,Fighting,Midway Games,0.72,0.28,0,0.23,1.24,1
1653,NHL 10,X360 PS3,2009,Sports,Electronic Arts,0.89,0.22,0,0.13,1.24,1
1654,Burnout 2: Point of Impact,PS2 XB GC,2002,Racing,Acclaim Entertainment,0.72,0.4,0,0.12,1.24,1
1655,Avatar: The Last Airbender,GC DS Wii PSP,2006,Adventure,THQ,1.03,0.13,0,0.07,1.23,1
1656,Rapala Pro Bass Fishing 2010,X360 Wii PS3 DS PS2 PSP,2010,Sports,Activision,0.92,0.19,0,0.11,1.23,1
1657,Donkey Kong Country 2,GBA,2004,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23,0
1658,Tom Clancy's Splinter Cell: Double Agent,X360 PS3 Wii GC,2006,Action,Ubisoft,1.01,0.1,0.01,0.1,1.23,1
1659,Darksiders,X360 PC PS3,2010,Action,THQ,0.75,0.36,0.01,0.12,1.23,1
1660,"Warhammer 40,000: Space Marine",X360 PS3 PC,2011,Shooter,THQ,0.47,0.61,0,0.18,1.23,1
1661,Ace Combat: Assault Horizon,PS3 X360,2011,Action,Namco Bandai Games,0.6,0.28,0.25,0.11,1.23,1
1662,Spec Ops: The Line,PS3 X360 PC,2012,Shooter,Take-Two Interactive,0.51,0.53,0.04,0.16,1.23,1
1663,Kirby Tilt 'n' Tumble,GB,2000,Puzzle,Nintendo,0.29,0.17,0.75,0.02,1.23,0
1664,"WarioWare, Inc.: Mega MicroGame$",GBA,2003,Puzzle,Nintendo,0.4,0.11,0.7,0.02,1.23,0
1665,Frogger: The Great Quest,PS2,2001,Platform,Konami Digital Entertainment,0.6,0.47,0,0.16,1.23,0
1666,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,2003,Misc,Sony Computer Entertainment,0.69,0.47,0,0.08,1.23,0
1667,NBA Live 10,PS3 X360 PSP,2009,Sports,Electronic Arts,1.07,0.05,0.02,0.1,1.23,1
1668,Boom Blox,Wii,2008,Puzzle,Electronic Arts,0.72,0.38,0,0.12,1.23,0
1669,Ninja Gaiden,XB,2004,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23,0
1670,Alice: Madness Returns,PS3 X360 PC,2011,Adventure,Electronic Arts,0.49,0.5,0.08,0.15,1.22,1
1671,Sacred 2: Fallen Angel,PS3 X360 PC,2009,Role-Playing,Deep Silver,0.51,0.45,0.12,0.15,1.22,1
1672,Wipeout 2,Wii X360 DS 3DS PS3,2011,Misc,Activision,1.14,0,0,0.08,1.22,1
1673,Parfait: Chocolat Second Style,PS2,2006,Adventure,Alchemist,0.59,0.46,0.01,0.15,1.22,0
1674,ESPN College Hoops 2K5,PS2 XB,2004,Sports,Sega,0.7,0.4,0,0.12,1.22,1
1675,Game & Watch Gallery 2,GB,1997,Misc,Nintendo,0.76,0.3,0.12,0.04,1.22,0
1676,Intelligent Qube,PS,1997,Puzzle,Sony Computer Entertainment,0.13,0.07,1,0.02,1.22,0
1677,Chocobo no Fushigi Dungeon,PS,1997,Role-Playing,SquareSoft,0,0,1.14,0.08,1.22,0
1678,Game & Watch Gallery 3,GB,1999,Misc,Nintendo,0.79,0.31,0.08,0.04,1.22,0
1679,Golden Sun: The Lost Age,GBA,2002,Role-Playing,Nintendo,0.61,0.27,0.27,0.07,1.22,0
1680,Mario Power Tennis,GC,2004,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22,0
1681,Two Worlds II,X360 PS3 PC,2011,Role-Playing,Unknown,0.75,0.28,0.09,0.12,1.22,1
1682,Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,0.55,0.44,0.14,0.09,1.22,0
1683,Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,Sony Computer Entertainment,1.03,0.14,0,0.04,1.21,0
1684,True Crime: New York City,PS2 XB GC,2005,Action,Activision,0.91,0.11,0.07,0.1,1.21,1
1685,Major League Baseball 2K8,X360 PS3 PS2 Wii,2008,Sports,Bethesda Softworks,1.04,0.06,0,0.1,1.21,1
1686,Fuzion Frenzy,XB,2001,Misc,Microsoft Game Studios,0.93,0.24,0,0.04,1.21,0
1687,Green Day: Rock Band,PS3 X360 Wii,2010,Misc,MTV Games,0.65,0.41,0,0.14,1.21,1
1688,Dragon Quest IV: Michibikareshi Monotachi,PS,2001,Role-Playing,Enix Corporation,0,0,1.2,0.01,1.21,0
1689,Dino Crisis 2,PS,2000,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21,0
1690,Star Wars Episode 1: Jedi Power Battles,PS,1999,Action,LucasArts,0.66,0.48,0.01,0.06,1.21,0
1691,The Magical Quest starring Mickey Mouse,SNES,1992,Platform,Capcom,0.66,0.17,0.35,0.03,1.21,0
1692,Test Drive 4,PS,1997,Racing,Electronic Arts,0.67,0.46,0,0.08,1.21,0
1693,Unreal Tournament III,PS3 X360 PC,2007,Shooter,Midway Games,0.58,0.46,0.01,0.17,1.2,1
1694,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4 PS3,2015,Action,Square Enix,0.16,0.13,0.86,0.06,1.2,1
1695,Mario vs. Donkey Kong 2: March of the Minis,DS,2006,Puzzle,Nintendo,0.74,0.03,0.36,0.07,1.2,0
1696,Pok??Park Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo,0.55,0.17,0.42,0.06,1.2,0
1697,One Piece: Pirate Warriors,PS3,2012,Action,Namco Bandai Games,0.01,0.24,0.86,0.09,1.2,0
1698,SolarStriker,GB,1989,Shooter,Nintendo,0.4,0.39,0.36,0.04,1.2,0
1699,Deer Drive,Wii DS,2009,Sports,Big Ben Interactive,1.08,0.04,0,0.07,1.2,1
1700,Dragon Ball Z: La Legende Saien,SNES,1993,Fighting,Namco Bandai Games,0,0,1.2,0,1.2,0
1701,Dogz,GBA DS,2004,Simulation,Ubisoft,0.96,0.19,0,0.05,1.2,1
1702,Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,Konami Digital Entertainment,0,0,1.2,0,1.2,0
1703,TwinBee,NES,1986,Shooter,Konami Digital Entertainment,0,0,1.2,0,1.2,0
1704,NFL 2K,DC,1999,Sports,Sega,1.12,0.05,0,0.02,1.2,0
1705,Tales of Vesperia,X360 PS3,2008,Role-Playing,Atari,0.32,0.18,0.64,0.05,1.2,1
1706,ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games,1,0.04,0,0.16,1.2,0
1707,Pikmin 2,GC,2004,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2,0
1708,World Soccer Winning Eleven 9 (JP & Others sales),PSP,2005,Sports,Konami Digital Entertainment,0.01,0.88,0.31,0,1.2,0
1709,Naruto Shippuden: Ultimate Ninja Storm Generations,PS3 X360,2012,Fighting,Namco Bandai Games,0.53,0.39,0.15,0.12,1.19,1
1710,Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.46,0.31,0.33,0.08,1.19,0
1711,iCarly,DS Wii,2009,Adventure,Activision,1.09,0.01,0,0.08,1.19,1
1712,Final Fantasy I & II: Dawn of Souls,GBA,2004,Role-Playing,Nintendo,0.64,0.24,0.29,0.02,1.19,0
1713,The Dukes of Hazzard: Racing for Home,PS,1999,Racing,Ubisoft,0.99,0.16,0,0.04,1.19,0
1714,Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Platform,Capcom,0.68,0.14,0.35,0.02,1.19,0
1715,Rock Band Country Track Pack,Wii PS2 X360 PS3,2009,Misc,MTV Games,0.98,0.12,0,0.1,1.19,1
1716,Kobe Bryant in NBA Courtside,N64,1998,Sports,Nintendo,1.02,0.13,0.04,0.01,1.19,0
1717,Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo,0.56,0.36,0.19,0.09,1.19,0
1718,Nuclear Strike,PS,1997,Simulation,Electronic Arts,0.66,0.45,0,0.08,1.19,0
1719,Metal Gear Solid: Portable Ops,PSP,2006,Action,Konami Digital Entertainment,0.38,0.35,0.38,0.09,1.19,0
1720,Street Hoops,PS2 XB,2002,Sports,Activision,0.66,0.41,0,0.13,1.19,1
1721,Tom Clancy's HAWX,X360 PS3 PC,2009,Action,Ubisoft,0.52,0.44,0.07,0.16,1.19,1
1722,Thrillville: Off the Rails,Wii PS2 X360 PSP DS,2007,Strategy,LucasArts,0.84,0.21,0,0.1,1.18,1
1723,Resident Evil: Revelations 2,PS4 PS3 PSV XOne X360,2015,Action,Capcom,0.31,0.43,0.32,0.13,1.18,1
1724,Dora the Explorer: Dora Saves the Mermaids,DS PS2,2007,Platform,Take-Two Interactive,1.03,0.06,0,0.1,1.18,1
1725,The Incredibles: Rise of the Underminer,GBA PS2 GC DS XB PC,2005,Action,THQ,0.79,0.31,0,0.07,1.18,1
1726,Ice Age: Dawn of the Dinosaurs,DS Wii PS3 PS2 X360 PC,2009,Action,Activision,0.63,0.43,0,0.12,1.18,1
1727,Knockout Kings 2002,PS2 XB,2002,Sports,Electronic Arts,0.65,0.41,0,0.13,1.18,1
1728,MLB 14: The Show,PS4 PS3 PSV,2014,Sports,Sony Computer Entertainment America,1.04,0,0,0.13,1.18,1
1729,Shenmue,DC,1999,Adventure,Sega,0.52,0.24,0.38,0.04,1.18,0
1730,Pro Yakyuu Family Stadium '88,NES,1988,Sports,Namco Bandai Games,0.1,0,1.08,0,1.18,0
1731,Pole Position,2600,1982,Racing,Atari,1.1,0.07,0,0.01,1.18,0
1732,Metal Gear Solid VR Missions,PS,1999,Adventure,Konami Digital Entertainment,0.66,0.45,0,0.08,1.18,0
1733,UFC Personal Trainer: The Ultimate Fitness System,X360 PS3 Wii,2011,Sports,THQ,0.73,0.34,0,0.12,1.18,1
1734,Shadow of the Colossus,PS2 PS3,2005,Action,Sony Computer Entertainment,0.78,0.03,0.24,0.13,1.18,1
1735,Street Fighter Alpha 3,PS GBA,1998,Fighting,Virgin Interactive,0.49,0.16,0.51,0.02,1.18,1
1736,2014 FIFA World Cup Brazil,PS3 X360,2014,Sports,Electronic Arts,0.29,0.67,0.01,0.2,1.18,1
1737,Shinobi,PS2 3DS,2002,Platform,Sony Computer Entertainment,0.5,0.35,0.22,0.11,1.18,1
1738,Top Gun: Combat Zones,PS2 GC GBA,2001,Simulation,Titus,0.64,0.41,0,0.12,1.17,1
1739,Virtua Tennis 3,PS3 PSP X360 PC,2007,Sports,Sega,0.28,0.65,0.03,0.23,1.17,1
1740,Mega Man 3,NES,1990,Platform,Capcom,0.68,0.1,0.39,0,1.17,0
1741,Romancing SaGa 2,SNES,1993,Role-Playing,SquareSoft,0,0,1.17,0,1.17,0
1742,Wario Land: Shake It!,Wii,2008,Platform,Nintendo,0.6,0.31,0.15,0.11,1.17,0
1743,Spore,PC,2008,Strategy,Electronic Arts,0.03,1.06,0,0.09,1.17,0
1744,Cool Boarders 4,PS,1998,Sports,989 Studios,0.65,0.44,0,0.08,1.17,0
1745,Burnout,PS2 GC XB,2001,Racing,Acclaim Entertainment,0.68,0.37,0,0.11,1.17,1
1746,Sonic Rush Adventure,DS,2007,Platform,Sega,0.54,0.49,0.01,0.12,1.17,0
1747,Football Manager 2013,PC,2012,Sports,Sega,0,0.95,0,0.22,1.17,0
1748,Soviet Strike,PS,1996,Simulation,Electronic Arts,0.65,0.44,0,0.08,1.17,0
1749,Destruction Derby 2,PS,1996,Racing,Psygnosis,0.65,0.44,0,0.08,1.17,0
1750,Rage Racer,PS,1996,Racing,Sony Computer Entertainment,0.16,0.11,0.83,0.08,1.17,0
1751,X2: Wolverine's Revenge,PS2 XB GBA GC,2003,Platform,Activision,0.69,0.35,0,0.09,1.17,1
1752,Your Shape: Fitness Evolved 2012,X360,2011,Sports,Ubisoft,0.7,0.37,0,0.1,1.17,0
1753,Mario vs. Donkey Kong,GBA,2004,Puzzle,Nintendo,0.68,0.25,0.21,0.02,1.17,0
1754,Ratchet & Clank (2016),PS4,2016,Platform,Sony Computer Entertainment,0.32,0.64,0.04,0.18,1.17,0
1755,Freekstyle,PS2 GC GBA,2002,Racing,Electronic Arts,0.6,0.43,0,0.14,1.16,1
1756,Dynasty Warriors 7,PS3 X360,2011,Action,Tecmo Koei,0.41,0.21,0.46,0.08,1.16,1
1757,Lollipop Chainsaw,PS3 X360,2012,Action,Warner Bros. Interactive Entertainment,0.57,0.34,0.13,0.13,1.16,1
1758,Avatar: The Last Airbender - The Burning Earth,PS2 DS Wii X360,2007,Action,THQ,0.87,0.17,0,0.11,1.16,1
1759,Ice Age 2: The Meltdown,PS2 GBA GC DS XB Wii,2006,Platform,Vivendi Games,0.78,0.3,0,0.08,1.16,1
1760,Dragon Ball Z: Ultimate Tenkaichi,PS3 X360,2011,Fighting,Namco Bandai Games,0.66,0.28,0.1,0.12,1.16,1
1761,BeatMania,PS PS2,1998,Simulation,Konami Digital Entertainment,0.03,0.03,1.07,0.03,1.16,1
1762,Jet Force Gemini,N64,1999,Shooter,Nintendo,0.78,0.28,0.07,0.02,1.16,0
1763,EA Sports Active: More Workouts,Wii,2009,Sports,Electronic Arts,0.78,0.28,0,0.1,1.16,0
1764,Test Drive: Off Road,PS,1997,Racing,Eidos Interactive,0.65,0.44,0,0.08,1.16,0
1765,Bushido Blade,PS,1997,Fighting,Sony Computer Entertainment,0.39,0.27,0.43,0.08,1.16,0
1766,Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,Square Enix,0.45,0.25,0.3,0.16,1.16,0
1767,Mega Man X,SNES,1993,Platform,Capcom,0.57,0.08,0.5,0.01,1.16,0
1768,Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,2002,Role-Playing,Konami Digital Entertainment,0.84,0.27,0,0.05,1.16,0
1769,Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004,Shooter,Ubisoft,0.57,0.44,0,0.15,1.16,0
1770,Sega Rally Championship,SAT,1995,Racing,Sega,0.21,0.16,0.77,0.02,1.16,0
1771,Big Mutha Truckers,PS2 XB GC GBA,2002,Racing,Empire Interactive,0.65,0.39,0,0.12,1.15,1
1772,Kane & Lynch 2: Dog Days,PS3 X360 PC,2010,Shooter,Square Enix,0.37,0.57,0.06,0.16,1.15,1
1773,Warriors Orochi 3,PS3 X360 PS4 PSP PSV XOne,2011,Action,Ubisoft Annecy,0.14,0.15,0.82,0.04,1.15,1
1774,Midway Arcade Treasures 2,PS2 XB GC,2004,Misc,Midway Games,0.7,0.34,0,0.1,1.15,1
1775,Dragon Quest I & II,SNES,1993,Role-Playing,Enix Corporation,0,0,1.15,0,1.15,0
1776,Derby Stallion III,SNES,1995,Sports,ASCII Entertainment,0,0,1.15,0,1.15,0
1777,Doraemon,NES,1986,Action,Hudson Soft,0,0,1.15,0,1.15,0
1778,Puyo Puyo Sun Ketteiban,PS,1997,Puzzle,Compile,0,0,1.07,0.07,1.15,0
1779,Worldwide Soccer Manager 2009,PC,2008,Simulation,Sega,0,1.14,0,0.01,1.15,0
1780,Ford Racing 2,PS2 XB,2003,Racing,Empire Interactive,0.6,0.41,0,0.14,1.15,1
1781,Donkey Konga,GC,2003,Misc,Nintendo,0.5,0.16,0.46,0.03,1.15,0
1782,Kaboom!,2600,1980,Misc,Activision,1.07,0.07,0,0.01,1.15,0
1783,High School Musical 2: Work This Out!,DS,2008,Misc,Disney Interactive Studios,0.5,0.52,0,0.13,1.15,0
1784,Ratchet & Clank: All 4 One,PS3,2011,Platform,Sony Computer Entertainment,0.75,0.22,0.05,0.12,1.15,0
1785,Sonic and the Black Knight,Wii,2009,Platform,Sega,0.69,0.35,0.01,0.11,1.15,0
1786,Qix,GB,1990,Puzzle,Nintendo,0.51,0.2,0.41,0.03,1.15,0
1787,Mega Man Anniversary Collection,PS2 GC XB,2004,Platform,Capcom,0.71,0.33,0,0.09,1.14,1
1788,Hitman: Contracts,PS2 XB,2004,Shooter,Eidos Interactive,0.65,0.38,0,0.11,1.14,1
1789,Hot Wheels: Stunt Track Challenge,PS2 GBA XB,2004,Racing,THQ,0.69,0.37,0,0.09,1.14,1
1790,NHL 16,PS4 XOne PS3 X360,2015,Sports,Electronic Arts,0.72,0.25,0,0.17,1.14,1
1791,Dance on Broadway,Wii PS3,2010,Misc,Ubisoft,0.32,0.69,0,0.13,1.14,1
1792,Dead or Alive 2,PS2 DC,2000,Fighting,Tecmo Koei,0.3,0.24,0.52,0.08,1.14,1
1793,Hot Shots Golf: Out of Bounds,PS3,2007,Sports,Sony Computer Entertainment,0.31,0.03,0.76,0.04,1.14,0
1794,Dance Dance Revolution Extreme 2,PS2,2005,Simulation,Konami Digital Entertainment,0.95,0.04,0,0.16,1.14,0
1795,Defiance,X360 PS3 PC,2013,Shooter,Trion Worlds,0.71,0.3,0,0.11,1.14,1
1796,Mobile Suit Gundam: Federation vs. Zeon,PS2,2001,Simulation,Atari,0.12,0.1,0.88,0.03,1.14,0
1797,Super R.C. Pro-Am,GB,1991,Racing,Nintendo,0.58,0.37,0.15,0.04,1.14,0
1798,Resident Evil - Code: Veronica,DC,2000,Action,Eidos Interactive,0.41,0.23,0.47,0.03,1.14,0
1799,The Hobbit,PS2 XB GBA GC,2003,Platform,Vivendi Games,0.71,0.33,0,0.08,1.14,1
1800,Brave Fencer Musashi,PS,1998,Role-Playing,SquareSoft,0.25,0.17,0.65,0.07,1.14,0
1801,Tenchu: Wrath of Heaven,PS2,2003,Action,Activision,0.44,0.34,0.25,0.11,1.14,0
1802,Pilotwings,SNES,1990,Simulation,Nintendo,0.46,0.17,0.48,0.02,1.14,0
1803,Action Bass,PS,2000,Action,Take-Two Interactive,0.64,0.43,0,0.07,1.14,0
1804,Pokemon Rumble Blast,3DS,2011,Action,Nintendo,0.47,0.26,0.35,0.07,1.14,0
1805,Scooby-Doo! and the Spooky Swamp,Wii DS PS2,2010,Action,Warner Bros. Interactive Entertainment,0.63,0.34,0,0.15,1.13,1
1806,Command & Conquer: Red Alert 3,PC X360,2008,Strategy,Electronic Arts,0.19,0.87,0,0.07,1.13,1
1807,Bakugan Battle Brawlers: Defenders of the Core,DS Wii PS3 PSP X360,2010,Action,Activision,0.91,0.1,0.02,0.1,1.13,1
1808,Yakuza 3,PS3,2009,Action,Sega,0.21,0.21,0.62,0.08,1.13,0
1809,Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004,Shooter,Ubisoft,0.99,0.12,0,0.02,1.13,0
1810,Pokemon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,2005,Role-Playing,Nintendo,0.81,0.3,0,0.02,1.13,0
1811,Fantasy Life,3DS,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13,0
1812,San Francisco Rush: Extreme Racing,N64 PS,1997,Racing,GT Interactive,0.84,0.26,0,0.04,1.13,1
1813,MechAssault,XB,2002,Simulation,Microsoft Game Studios,1.01,0.1,0,0.03,1.13,0
1814,Derby Stallion 99,PS,1999,Sports,ASCII Entertainment,0,0,1.06,0.07,1.13,0
1815,Jampack Winter '98,PS,1998,Misc,Sony Computer Entertainment,0.63,0.43,0,0.07,1.13,0
1816,Petz: Horsez 2,DS Wii PS2,2007,Simulation,Ubisoft,0.93,0.1,0,0.09,1.13,1
1817,TMNT,X360 Wii PSP DS,2007,Action,Ubisoft,0.94,0.09,0,0.08,1.12,1
1818,Karaoke Revolution,Wii PS2 X360 PS3 XB,2009,Misc,Konami Digital Entertainment,0.66,0.34,0,0.1,1.12,1
1819,Lode Runner,NES DS,1984,Puzzle,Hudson Soft,0,0,1.12,0,1.12,1
1820,Moon Patrol,2600,1982,Shooter,Atari,1.05,0.06,0,0.01,1.12,0
1821,Supercar Street Challenge,PS2,2001,Racing,Activision,0.55,0.43,0,0.14,1.12,0
1822,Pilotwings 64,N64,1996,Simulation,Nintendo,0.56,0.24,0.3,0.02,1.12,0
1823,Crackdown 2,X360,2010,Shooter,Microsoft Game Studios,0.63,0.37,0.02,0.1,1.12,0
1824,Bratz: Rock Angelz,GBA PS2 GC,2004,Misc,THQ,0.74,0.33,0,0.07,1.12,1
1825,SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005,Shooter,Sony Computer Entertainment,1.03,0,0.01,0.08,1.12,0
1826,Triple Play 2002,PS2 XB,2002,Sports,Electronic Arts,0.62,0.38,0,0.12,1.12,1
